"","X.IncMSE"
"Substrate",113157.656906429
"Year",-4101.3306869907
"Open_Water",90785.9544304644
"Developed",71197.1413755329
"Barren_Land",31004.8796063297
"Deciduous_Forest",46187.2052821129
"Evergreen_Forest",16005.5361417313
"Mixed_Forest",55803.2100307662
"Shrub_Scrub",21726.5012151514
"Herbaceous",70421.1380111522
"Hay_Pasture",43962.4628584087
"Cultivated_Crops",59589.5915684591
"Wetlands",65729.5589476255
"D",68124.3091938947
"GrowingSeason",-655.441332154676
"DailyAvgTemp",-1825.43497631557
"AvgPDSI",-1822.90206308144
"random",817.464092393296
